Feature,Importance
tenure_months,0.09478414665466618
contract,0.09467477887021303
total_charge,0.08197663266697758
monthly_charge,0.06984252022831136
online_security,0.051107647498568574
tech_support,0.045084482147961014
data_usage_gb,0.043301862446908895
customer_segment,0.03985882823013464
cltv,0.037746568024676394
signal_strength,0.037633583166816316
internet_service,0.03641216188091241
packet_loss_percent,0.03397443792007118
voice_minutes,0.033858454586187005
sms_count,0.03371309013423108
latency_ms,0.03290632872280795
network_score,0.03270286546117067
roaming_minutes,0.030812253802386107
downtime_minutes,0.03061055868104292
international_minutes,0.027061195640708798
online_backup,0.019329155332685238
revenue_category,0.017985689560842698
paperless_billing,0.012165244362136998
device_protection,0.01116105526582125
multiple_lines,0.008654068256587967
senior_citizen,0.006751409824523336
streaming_movies,0.006716858658713432
streaming_tv,0.005902925068009874
usage_segment,0.005703020111662088
dependents,0.005444338437632129
partner,0.005346441551917055
gender,0.005221550147525773
phone_service,0.0015558466571900806
